property_geometry	9	inferred_lot_depth_ft	numeric
property_geometry	10	inferred_lot_size_sq_ft	numeric
property_geometry	11	has_gov_data	boolean
property_geometry	12	perimeter_gov	USER-DEFINED
property_geometry	13	perimeter_json_gov	jsonb
property_history	1	property_id	bigint
property_history	2	last_sale_date	date
property_history	3	last_sale_amount	numeric
property_hoa	1	property_id	bigint
property_hoa	2	has_hoa	boolean
property_hoa	3	name_1	text
property_hoa	4	company_name_1	text
property_hoa	5	name_2	text
property_hoa	6	company_name_2	text
property_hoa	7	name_3	text
property_hoa	8	company_name_3	text
property_hoa	9	name_4	text
property_hoa	10	company_name_4	text
property_mls	1	property_id	bigint
property_mls	2	listing_status	text
property_mls	3	last_mls_id	bigint
property_neighborhoods	1	property_id	bigint
property_neighborhoods	2	name	text
property_neighborhoods	3	geo_id	text
property_neighborhoods	4	sub_neighborhood_name	text
property_neighborhoods	5	sub_neighborhood_geo_id	text
property_neighborhoods	6	macro_neighborhood_name	text
property_neighborhoods	7	macro_neighborhood_geo_id	text
property_residential_subdivision	1	property_id	bigint
property_residential_subdivision	2	name	text
property_residential_subdivision	3	geo_id	text
property_school_district	1	property_id	bigint
property_school_district	2	name	text
property_school_district	3	geo_id	text
property_score	1	property_id	bigint
property_score	2	score_id	bigint
property_scout_fields	1	property_id	bigint
property_scout_fields	10	notes	text
property_scout_fields	14	starred	boolean
property_scout_fields	30	validation_fields	jsonb
property_scout_fields	31	site_layout_details	jsonb
property_scout_fields	32	validation_details	jsonb
property_scout_fields	33	status	bigint
property_scout_fields	34	source	bigint
property_scout_fields	35	manual_purchase_price	numeric
property_scout_fields	36	manual_sale_price	numeric
property_scout_fields	37	generic_data	jsonb
property_scout_fields	38	home_product_id	bigint
property_source_type	1	id	bigint
property_source_type	2	name	text
property_status_type	1	id	bigint
property_status_type	2	name	text
property_structure	1	property_id	bigint
property_structure	2	building_sq_ft	numeric
property_structure	3	gross_sq_ft	numeric
property_structure	4	floor_1_sq_ft	numeric
